Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.8132159	5.5300221	4.3441455	0.0251029	1.2601551	-5.521
1000	5.7438759	5.6092047	4.3244248	0.0204894	0.7117787	-2.557
2000	5.7106666	5.6032736	4.3085675	0.0253151	0.9543785	-4.579
3000	5.9152159	5.7345325	4.2359082	0.0137508	0.9697022	-3.242
4000	5.8056086	5.6920887	4.1857056	0.0173059	1.2631580	-2.862
5000	5.9254844	5.3964567	4.1397747	0.0101963	1.5118612	-1.401
6000	5.6872433	5.5971372	4.1164527	0.0214925	1.1406457	-1.962
7000	5.8925117	5.8628198	4.1280327	0.0137339	1.2226112	-4.529
8000	5.8750199	5.6960864	4.3146105	0.0191513	1.5176020	-1.165
9000	5.8404742	5.7112668	4.3033764	0.0186929	0.8892983	-2.763
10000	5.8450422	5.6123025	4.5127969	0.0126041	0.8944761	-4.666
11000	5.8352195	5.0164394	4.2060973	0.0346954	0.9974005	-10.886
12000	5.8595854	5.7436843	4.1399627	0.0177027	1.2741932	-2.447
13000	5.7400527	5.6292376	4.1195500	0.0265255	0.8950612	-6.752
14000	5.8962607	5.7241206	4.4074047	0.0233472	1.7505598	-3.289
15000	5.8396197	5.6437624	4.3241191	0.0162066	1.3157760	-1.527
16000	5.8820489	5.4467446	4.4708767	0.0091170	1.4435213	-5.605
17000	5.8198216	5.7681629	4.4654461	0.0175868	0.7825414	-6.644
18000	5.7625990	5.7046118	4.3030761	0.0135919	0.9352385	-2.136
19000	5.9293992	5.9230824	4.2234497	0.0192485	1.3413975	-3.485
20000	5.7690791	5.4746710	4.4292672	0.0197362	0.9502558	-3.086
21000	5.7692576	5.6043325	4.3323104	0.0281029	0.9995645	-6.101
22000	5.8287491	5.7706358	4.1934297	0.0260032	1.0514402	-2.675
23000	5.8760535	5.7092059	4.1193711	0.0257374	1.1788798	-4.177
24000	5.8243721	5.7740899	4.1559456	0.0232416	0.9397927	-1.845
25000	5.8306946	5.7722210	4.3768751	0.0298070	1.1242631	-3.828
26000	5.9122398	5.6333463	4.2787296	0.0170801	1.3949058	-5.019
27000	5.8805603	5.7567199	4.2153717	0.0164307	1.2894452	-2.875
28000	5.8987592	5.5898757	4.4172016	0.0234116	0.7207288	-10.232
29000	5.8073989	5.4031541	4.1896605	0.0516242	1.3944804	-1.608
30000	5.8588997	5.6332567	4.4944102	0.0197524	1.3152722	-4.713
31000	5.8497587	5.6491267	4.1441047	0.0138648	1.7879913	-1.440
32000	5.8602309	5.5922328	4.1992059	0.0208287	1.0841457	-6.629
33000	5.8733893	5.6749542	4.4741254	0.0115275	1.1881891	-6.560
34000	5.8087093	5.7797375	4.3847322	0.0303685	0.9642844	-1.934
35000	5.7983387	5.6663116	4.3053400	0.0297376	1.2213616	-5.087
