Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.8383111	5.8025738	4.2658418	0.0385125	1.1662745	-2.117
1000	6.0146247	5.8639340	4.3098852	0.0366434	0.9669522	-6.453
2000	5.7977084	5.7793287	4.4450296	0.0289491	1.0696690	-4.331
3000	5.9556254	5.7208012	4.4715080	0.0514644	0.9256976	-5.941
4000	5.7922894	5.7716936	4.1515386	0.0462533	0.9763392	-1.883
5000	5.8737452	5.7685212	4.1568149	0.0407614	0.8740888	-4.464
6000	5.7506755	5.7279268	4.2728993	0.0351227	0.9097973	-2.435
7000	5.9248445	5.8425242	4.2719362	0.0540446	1.0692208	-3.524
8000	5.7618647	5.7477220	4.2671855	0.0449868	0.9255561	-3.577
9000	5.9030560	5.8051409	4.2346700	0.0481962	0.8883109	-1.017
10000	5.9343082	5.9113052	4.1291658	0.0541911	0.9495705	-1.392
11000	5.8402961	5.7937880	4.3409369	0.0726947	0.8429525	-1.212
12000	5.8545517	5.7791646	4.2906920	0.0913889	1.2431791	-0.684
13000	5.9111481	5.8905775	4.3709961	0.0361916	0.9827173	-7.201
14000	5.8076224	5.7584521	4.4432235	0.0521775	1.1147487	-0.991
15000	5.8332351	5.7572143	4.2176615	0.0253801	0.7715466	-2.015
16000	5.9009639	5.8968157	4.1678376	0.1365814	1.0098898	-2.278
17000	5.8321392	5.7939563	4.4925452	0.0802741	1.0962062	-1.787
18000	5.9263479	5.9091176	4.2050346	0.0348134	0.5425098	-4.028
19000	5.7922895	5.7666929	4.5079677	0.0620083	1.0417507	-4.668
20000	5.7585840	5.7164032	4.2402078	0.0555692	0.7729806	-3.048
21000	5.8305666	5.7823714	4.4324150	0.1003785	1.0526891	-6.633
22000	5.7266584	5.6837078	4.1236734	0.0611620	1.1266299	-2.503
23000	5.8342570	5.8253113	4.2919004	0.0667507	1.2283218	-1.619
24000	5.7740547	5.6573561	4.1181364	0.0420985	0.8559505	-3.089
25000	5.9311795	5.8940518	4.3193894	0.0624925	0.9437833	-1.956
26000	5.8064784	5.7933020	4.3624339	0.0258670	1.0330751	-1.472
27000	5.9100218	5.8985715	4.3052744	0.0841508	1.0162447	-1.883
28000	5.8601901	5.8065351	4.1686359	0.0424860	1.0523609	-2.842
29000	5.7771615	5.7049097	4.2661845	0.0393539	0.7562521	-7.874
30000	5.8465639	5.8264852	4.3988791	0.0349495	1.3977706	-1.951
31000	5.8851665	5.8052508	4.2959500	0.0381393	0.9342151	-2.191
32000	5.9061315	5.6941913	4.3011572	0.0316632	1.0979444	-2.662
33000	5.8992498	5.8954385	4.3102804	0.0458586	0.8816970	-4.361
34000	5.8346009	5.8107330	4.2437651	0.0441473	0.6390214	-3.362
35000	5.8126356	5.6294815	4.1176198	0.0344654	0.9519087	-5.220
36000	5.8860917	5.8777304	4.2311808	0.0984437	1.3250481	-3.696
37000	5.8268830	5.8245220	4.4770900	0.0561216	1.2398232	-3.563
38000	5.9140891	5.7764233	4.1125658	0.0590566	0.8449690	-9.247
39000	5.7930182	5.7588162	4.2302600	0.0332016	0.7318654	-4.330
40000	5.8116733	5.7443291	4.1033284	0.0430112	1.0241017	-5.604
41000	5.8716076	5.7023630	4.1461023	0.0404943	0.8171927	-7.197
42000	5.8159018	5.8028195	4.2515995	0.0292788	0.8845835	-1.260
