Gen	t_n5	t_n6	t_n7	mu
1	5.7878703	4.8842563	4.2988237	0.0848489
1000	5.8909329	5.2659297	4.2841891	0.0215915
2000	5.8214082	5.3671797	4.2602429	0.0116242
3000	5.7696205	5.1295984	4.2417126	0.0617761
4000	5.7332978	5.5968727	4.2239934	0.0273835
5000	5.8355063	5.4462652	4.4951854	0.1831215
6000	5.8337875	5.5273989	4.1366669	0.0832745
7000	5.8419587	5.4415001	4.1821798	0.0278350
8000	5.9301153	5.1056006	4.4492083	0.0534702
9000	5.7403861	5.1485582	4.1819603	0.0728575
10000	5.8689226	5.2779572	4.2613491	0.0594367
11000	5.7400730	5.2135806	4.4079543	0.0620409
12000	5.8950382	4.4260227	4.4149206	0.0271630
13000	5.7747616	5.3384621	4.2422757	0.0275879
14000	5.9581076	4.5143844	4.1257465	0.0059039
15000	5.8704627	4.9547253	4.3023958	0.0449697
16000	5.8359002	5.7988448	4.5058730	0.0583757
17000	5.9864008	4.8994250	4.4609206	0.0576073
18000	5.7874566	5.5222293	4.2985171	0.0310564
19000	5.8103823	4.3724401	4.2838465	0.0902574
20000	5.8319186	4.4469706	4.3018290	0.1561793
21000	5.9174520	4.8065953	4.2825436	0.0613110
22000	5.7600260	5.5003337	4.5058229	0.0492242
23000	5.8426525	5.2104932	4.4647697	0.0491861
24000	5.8002003	4.5095406	4.3394209	0.0580564
25000	5.9045116	5.3759287	4.2360409	0.0432125
26000	5.7846188	5.0036920	4.4627908	0.0817801
27000	5.9080260	5.2477813	4.2020587	0.0346666
28000	5.9713912	5.3184821	4.3797825	0.2078653
29000	5.8789503	4.6863245	4.4567883	0.0803670
30000	5.7537840	5.2720211	4.3796709	0.0653426
31000	5.8725986	4.4010465	4.3657614	0.0092273
32000	5.8909396	5.4635746	4.4966735	0.0436634
33000	5.7830472	5.5200098	4.2715800	0.0518609
34000	5.8060601	4.4487739	4.4343053	0.1619821
35000	5.8837797	5.1236219	4.2031047	0.0257008
36000	5.7714088	5.0965867	4.2824644	0.0368699
37000	5.8565434	5.4583648	4.1237027	0.1224743
38000	5.8651474	5.5649541	4.4556463	0.0499095
39000	5.8904171	5.4513278	4.2944807	0.1092011
40000	5.8837862	5.4889052	4.4121445	0.1617245
41000	5.8283741	4.6121952	4.4754171	0.0273655
42000	5.8376704	5.2076215	4.3489586	0.0305543
43000	5.8565310	4.5017942	4.4452659	0.0660930
44000	5.7865804	5.1760594	4.2250329	0.0829680
45000	5.8793089	4.5834686	4.4688011	0.0527104
46000	5.8652630	4.6939343	4.3312051	0.0468957
47000	5.7747517	4.6395482	4.1167971	0.1172064
48000	5.9211498	5.4662781	4.5305246	0.0765972
49000	5.7855245	4.9927612	4.3509603	0.0593060
50000	5.8492794	5.0307618	4.4263559	0.1193462
51000	5.7873378	5.0176796	4.4500591	0.0886410
52000	5.9646839	4.5640277	4.2576236	0.0400679
53000	5.8477109	5.5754857	4.1955347	0.0473433
54000	5.8921355	4.5107705	4.1330560	0.0716277
55000	5.8893434	4.9112936	4.4608393	0.0365348
56000	5.8825130	5.7687421	4.4907450	0.0679123
57000	5.7823290	5.7805539	4.3018682	0.0191511
58000	5.8497917	4.5081352	4.2465427	0.0699828
59000	5.7512234	5.6070342	4.1278608	0.0265632
60000	5.7948329	4.3895188	4.3291207	0.0411222
61000	5.8589902	4.9213236	4.4733031	0.0821651
62000	5.7406039	4.6814944	4.3487616	0.0166456
63000	5.8847041	4.9948579	4.1855404	0.0661559
64000	5.8908964	4.3933614	4.3344734	0.1277090
65000	5.8526364	5.1305604	4.4614939	0.0486072
66000	5.8647462	4.9171158	4.4330001	0.0889628
67000	5.8074440	4.6269152	4.5150356	0.0555192
68000	5.7711062	5.4154831	4.1493610	0.0280266
69000	5.7383147	5.3357382	4.4630276	0.0318594
70000	5.8369906	4.2381688	4.1221636	0.0500427
71000	5.7696301	4.9964999	4.5246435	0.1059912
72000	5.7841636	4.6087640	4.4343859	0.0858406
73000	5.9537900	5.1046858	4.5165153	0.0436613
74000	5.8483895	5.4909583	4.4387758	0.0106966
75000	5.7963549	5.6351330	4.1893631	0.0242603
76000	5.8545291	4.7976883	4.1592599	0.0281503
77000	5.8268629	5.3443109	4.4193478	0.0359388
78000	5.8128638	5.2014470	4.4288939	0.0640494
79000	5.7970435	5.6264747	4.4427097	0.0354913
80000	5.8250418	4.4442129	4.3705848	0.0183975
81000	5.8162569	5.5150378	4.4900821	0.0285707
82000	5.8683986	5.6356283	4.2733910	0.1104912
83000	5.8358774	4.5543880	4.2846893	0.0367059
84000	5.8493643	4.7319728	4.2156502	0.0526045
85000	5.8813805	4.8754515	4.1836951	0.1278377
86000	5.8011066	5.5425994	4.5341598	0.0112215
